d23,offset_j2,offset_j3,rows,mean_vehicle_count,max_vehicle_count,mean_total_waiting_time,max_total_waiting_time,mean_speed,min_mean_speed,mean_total_queue,max_total_queue,total_departed,total_arrived,final_active,final_buffered,buffered_ratio
100,40,60,3600,78.933,95,221.378,591.0,7.883,0.0,17.322,38,3400,3335,65,0,0.0
100,40,65,3600,83.428,102,280.518,637.0,7.458,0.0,21.347,42,3400,3332,68,0,0.0
100,40,70,3600,97.0,123,466.196,1486.0,6.427,0.0,32.709,66,3400,3305,95,0,0.0
100,40,75,3600,135.611,201,1536.801,3659.0,4.715,0.0,66.918,127,3400,3225,175,0,0.0
100,40,80,3600,135.489,201,1516.853,3546.0,4.711,0.0,66.73,126,3400,3226,174,0,0.0
100,40,85,3600,135.701,199,1525.932,3662.0,4.7,0.0,67.005,136,3400,3227,173,0,0.0
100,40,90,3600,135.816,199,1534.766,3770.0,4.7,0.0,67.076,138,3400,3227,173,0,0.0
100,45,0,3600,135.757,199,1521.777,3798.0,4.689,0.0,66.482,136,3400,3225,175,0,0.0
100,45,5,3600,135.987,198,1533.232,3689.0,4.69,0.0,66.632,136,3400,3224,176,0,0.0
100,45,10,3600,136.491,197,1562.206,3635.0,4.682,0.0,67.204,138,3400,3221,179,0,0.0
100,45,15,3600,90.945,104,398.208,1177.0,6.845,0.0,27.676,69,3400,3310,90,0,0.0
100,45,20,3600,87.23,98,346.819,1016.0,7.152,0.0,24.732,63,3400,3317,83,0,0.0
100,45,25,3600,83.449,96,293.631,847.0,7.493,0.0,21.587,58,3400,3322,78,0,0.0
100,45,30,3600,79.897,96,245.099,727.0,7.837,0.0,18.761,50,3400,3330,70,0,0.0
100,45,35,3600,77.047,93,206.949,683.0,8.124,0.0,16.949,43,3400,3334,66,0,0.0
100,45,40,3600,76.586,92,203.881,666.0,8.146,0.0,16.537,41,3400,3336,64,0,0.0
100,45,45,3600,76.542,92,207.066,777.0,8.132,0.0,16.427,45,3400,3336,64,0,0.0
100,45,50,3600,76.506,91,211.507,721.0,8.123,0.0,16.381,42,3400,3336,64,0,0.0
100,45,55,3600,76.559,91,216.967,679.0,8.113,0.0,16.611,38,3400,3336,64,0,0.0
100,45,60,3600,77.95,93,219.05,664.0,7.961,0.0,16.92,39,3400,3336,64,0,0.0
100,45,65,3600,79.775,97,231.131,675.0,7.772,0.0,18.327,40,3400,3336,64,0,0.0
100,45,70,3600,83.918,103,281.87,791.0,7.387,0.0,21.893,44,3400,3326,74,0,0.0
100,45,75,3600,97.254,123,469.932,1631.0,6.381,0.0,32.975,66,3400,3303,97,0,0.0
100,45,80,3600,135.45,202,1531.302,3809.0,4.703,0.0,66.226,128,3400,3226,174,0,0.0
100,45,85,3600,135.688,201,1525.916,3702.0,4.689,0.0,66.533,134,3400,3228,172,0,0.0
100,45,90,3600,135.757,199,1521.777,3798.0,4.689,0.0,66.482,136,3400,3225,175,0,0.0
100,50,0,3600,135.623,205,1524.798,3574.0,4.687,0.0,65.935,131,3400,3225,175,0,0.0
100,50,5,3600,135.882,203,1528.721,3673.0,4.686,0.0,66.163,131,3400,3225,175,0,0.0
100,50,10,3600,136.336,201,1547.102,3643.0,4.679,0.0,66.65,130,3400,3219,181,0,0.0
100,50,15,3600,136.283,200,1561.59,3429.0,4.695,0.0,66.56,128,3400,3218,182,0,0.0
100,50,20,3600,91.216,108,407.061,1090.0,6.833,0.0,27.881,61,3400,3311,89,0,0.0
100,50,25,3600,87.261,100,348.658,931.0,7.16,0.0,24.731,56,3400,3318,82,0,0.0
100,50,30,3600,83.524,97,296.445,775.0,7.493,0.0,21.665,49,3400,3324,76,0,0.0
100,50,35,3600,80.275,95,252.923,630.0,7.788,0.0,19.067,42,3400,3331,69,0,0.0
100,50,40,3600,77.282,98,211.849,623.0,8.062,0.0,17.249,38,3400,3336,64,0,0.0
100,50,45,3600,76.674,97,207.709,669.0,8.109,0.0,16.668,42,3400,3336,64,0,0.0
100,50,50,3600,76.639,96,213.88,649.0,8.095,0.0,16.668,40,3400,3336,64,0,0.0
100,50,55,3600,76.582,95,219.72,604.0,8.095,0.0,16.919,40,3400,3336,64,0,0.0
100,50,60,3600,76.62,93,223.87,593.0,8.098,0.0,17.255,40,3400,3336,64,0,0.0
100,50,65,3600,78.664,94,231.214,586.0,7.877,0.0,17.794,38,3400,3334,66,0,0.0
100,50,70,3600,80.507,101,240.775,569.0,7.689,0.0,19.057,40,3400,3325,75,0,0.0
100,50,75,3600,84.346,105,287.814,706.0,7.326,0.0,22.361,44,3400,3322,78,0,0.0
100,50,80,3600,97.264,128,479.464,1586.0,6.36,0.0,33.092,64,3400,3301,99,0,0.0
100,50,85,3600,135.528,205,1534.515,3663.0,4.691,0.0,65.848,127,3400,3227,173,0,0.0
100,50,90,3600,135.623,205,1524.798,3574.0,4.687,0.0,65.935,131,3400,3225,175,0,0.0
100,55,0,3600,135.545,207,1556.194,3706.0,4.687,0.0,65.713,128,3400,3227,173,0,0.0
100,55,5,3600,135.789,205,1548.481,3577.0,4.685,0.0,65.951,125,3400,3224,176,0,0.0
100,55,10,3600,136.302,203,1555.009,3717.0,4.674,0.0,66.353,131,3400,3219,181,0,0.0
