N,distance_m,demand,multiplier,offset,mean_total_waiting_time,max_total_waiting_time,mean_speed,mean_total_queue,max_total_queue,mean_vehicle_count,max_vehicle_count,total_expected,total_departed,total_arrived,buffered_ratio,capacity_regime,total_teleports
5,500,medium,1.0,80,771.776,1713.0,9.103,48.587,100,220.794,259,4600.0,4600,4390,0.0,Unconstrained,0
5,500,medium,1.0,85,1041.472,3090.0,8.681,58.581,136,232.129,269,4600.0,4600,4369,0.0,Unconstrained,0
5,500,medium,1.0,90,1142.759,4896.0,8.529,62.18,157,236.571,283,4600.0,4600,4361,0.0,Unconstrained,0
5,500,high,1.5,0,1768.205,6994.0,8.314,97.566,232,363.709,422,6900.0,6900,6526,0.0,Unconstrained,0
5,500,high,1.5,5,1659.194,4764.0,8.416,93.509,215,359.129,407,6900.0,6900,6525,0.0,Unconstrained,0
5,500,high,1.5,10,1382.616,2846.0,8.676,83.075,157,347.569,406,6900.0,6900,6528,0.0,Unconstrained,0
5,500,high,1.5,15,1127.4,2123.0,8.96,72.579,106,335.672,383,6900.0,6900,6550,0.0,Unconstrained,0
5,500,high,1.5,20,955.38,1682.0,9.227,63.866,91,325.616,364,6900.0,6900,6557,0.0,Unconstrained,0
5,500,high,1.5,25,789.379,1552.0,9.516,54.476,85,315.755,348,6900.0,6900,6583,0.0,Unconstrained,0
5,500,high,1.5,30,652.15,1444.0,9.802,45.353,92,306.729,342,6900.0,6900,6589,0.0,Unconstrained,0
5,500,high,1.5,35,500.734,1149.0,10.17,34.844,54,295.583,325,6900.0,6900,6595,0.0,Unconstrained,0
5,500,high,1.5,40,375.354,1000.0,10.564,25.898,47,284.569,319,6900.0,6900,6595,0.0,Unconstrained,0
5,500,high,1.5,45,373.255,1321.0,10.631,24.65,63,282.941,323,6900.0,6900,6603,0.0,Unconstrained,0
5,500,high,1.5,50,381.256,1052.0,10.556,26.026,48,284.808,319,6900.0,6900,6612,0.0,Unconstrained,0
5,500,high,1.5,55,492.941,1076.0,10.204,34.146,56,294.6,326,6900.0,6900,6602,0.0,Unconstrained,0
5,500,high,1.5,60,649.115,1476.0,9.818,44.981,91,306.02,346,6900.0,6900,6593,0.0,Unconstrained,0
5,500,high,1.5,65,779.672,1525.0,9.533,53.866,83,315.059,351,6900.0,6900,6569,0.0,Unconstrained,0
5,500,high,1.5,70,939.428,1718.0,9.252,63.082,87,324.63,360,6900.0,6900,6566,0.0,Unconstrained,0
5,500,high,1.5,75,1084.858,1867.0,9.023,70.816,106,333.281,372,6900.0,6900,6559,0.0,Unconstrained,0
5,500,high,1.5,80,1345.936,2818.0,8.726,81.441,156,345.184,400,6900.0,6900,6557,0.0,Unconstrained,0
5,500,high,1.5,85,1648.28,4764.0,8.437,93.023,213,358.088,407,6900.0,6900,6541,0.0,Unconstrained,0
5,500,high,1.5,90,1768.205,6994.0,8.314,97.566,232,363.709,422,6900.0,6900,6526,0.0,Unconstrained,0
5,500,saturation,2.0,0,2377.194,8610.0,8.12,133.432,319,495.642,577,9200.0,9200,8679,0.0,Unconstrained,0
5,500,saturation,2.0,5,2220.032,6009.0,8.238,127.19,282,488.196,556,9200.0,9200,8674,0.0,Unconstrained,0
5,500,saturation,2.0,10,1932.893,3869.0,8.434,116.031,212,476.087,541,9200.0,9200,8686,0.0,Unconstrained,0
5,500,saturation,2.0,15,1635.039,2971.0,8.696,102.903,153,460.688,519,9200.0,9200,8708,0.0,Unconstrained,0
5,500,saturation,2.0,20,1371.259,2272.0,8.957,89.881,122,446.61,496,9200.0,9200,8718,0.0,Unconstrained,0
5,500,saturation,2.0,25,1144.746,2016.0,9.245,76.996,123,432.728,483,9200.0,9200,8737,0.0,Unconstrained,0
5,500,saturation,2.0,30,943.209,2104.0,9.554,63.472,110,419.062,457,9200.0,9200,8769,0.0,Unconstrained,0
5,500,saturation,2.0,35,777.398,1589.0,9.859,50.803,82,406.171,449,9200.0,9200,8781,0.0,Unconstrained,0
5,500,saturation,2.0,40,628.863,1636.0,10.2,40.626,72,392.737,438,9200.0,9200,8782,0.0,Unconstrained,0
5,500,saturation,2.0,45,552.567,2027.0,10.416,36.039,88,384.644,434,9200.0,9200,8786,0.0,Unconstrained,0
