step,J1_phase_group,J2_phase_group,vehicle_count,total_waiting_time,mean_speed,total_queue,J1_phase,J2_phase,J1_side_pressure,J1_main_pressure,J2_side_pressure,J2_main_pressure
141,main_green,side_green,59,256.0,7.900408136803075,11,2,0,12.0,12.0,10.0,6.0
142,main_green,side_green,59,268.0,8.372643923064908,12,2,0,12.0,12.0,10.0,6.0
143,main_green,side_green,59,280.0,8.826931785815262,12,2,0,12.0,12.0,10.0,6.0
144,main_green,side_green,64,292.0,8.502113584888372,17,2,0,12.0,12.0,10.0,6.0
145,main_green,side_green,64,304.0,8.648331473446655,13,2,0,12.0,12.0,10.0,6.0
146,main_green,side_green,64,317.0,8.800014292121126,13,2,0,12.0,12.0,10.0,6.0
147,main_green,side_green,62,331.0,8.881598702944213,14,2,0,12.0,12.0,10.0,6.0
148,main_green,side_green,61,345.0,8.793438783166902,15,2,0,12.0,12.0,10.0,6.0
149,yellow_transition,yellow_transition,61,359.0,8.636840388935818,14,3,1,15.0,5.0,-8.0,14.0
150,yellow_transition,yellow_transition,62,373.0,8.428399992141376,15,3,1,15.0,5.0,-8.0,14.0
151,yellow_transition,yellow_transition,62,390.0,8.337305242858928,17,3,1,15.0,5.0,-8.0,14.0
152,side_green,main_green,63,157.0,8.292932858072263,11,0,2,15.0,5.0,-8.0,14.0
153,side_green,main_green,61,37.0,8.463959229695064,6,0,2,15.0,5.0,-8.0,14.0
154,side_green,main_green,61,5.0,8.958370637949548,2,0,2,15.0,5.0,-8.0,14.0
155,side_green,main_green,62,7.0,9.346748993774714,3,0,2,15.0,5.0,-8.0,14.0
156,side_green,main_green,67,9.0,9.193641165922372,7,0,2,15.0,5.0,-8.0,14.0
157,side_green,main_green,66,12.0,9.79802341030257,3,0,2,15.0,5.0,-8.0,14.0
158,side_green,main_green,65,15.0,10.376008383680176,3,0,2,15.0,5.0,-8.0,14.0
159,side_green,main_green,59,19.0,10.72332954507531,4,0,2,15.0,5.0,-8.0,14.0
160,side_green,main_green,59,24.0,10.483926773945957,7,0,2,15.0,5.0,-8.0,14.0
161,side_green,main_green,56,29.0,10.570670595478166,5,0,2,15.0,5.0,-8.0,14.0
162,yellow_transition,yellow_transition,56,34.0,10.63227034724587,5,1,3,-11.0,11.0,-3.0,5.0
163,yellow_transition,yellow_transition,55,40.0,10.221221446328101,6,1,3,-11.0,11.0,-3.0,5.0
164,yellow_transition,yellow_transition,55,47.0,9.686075695346188,8,1,3,-11.0,11.0,-3.0,5.0
165,main_green,main_green,55,19.0,9.688480439965403,5,2,2,-11.0,11.0,-3.0,5.0
166,main_green,main_green,55,21.0,9.923427848345035,3,2,2,-11.0,11.0,-3.0,5.0
167,main_green,main_green,55,25.0,10.40713798939291,4,2,2,-11.0,11.0,-3.0,5.0
168,main_green,main_green,60,29.0,9.805620647536065,9,2,2,-11.0,11.0,-3.0,5.0
169,main_green,main_green,60,33.0,10.318023299790672,4,2,2,-11.0,11.0,-3.0,5.0
170,main_green,main_green,57,37.0,10.434763190925105,5,2,2,-11.0,11.0,-3.0,5.0
171,main_green,main_green,56,41.0,10.783294804648449,4,2,2,-11.0,11.0,-3.0,5.0
172,main_green,main_green,54,45.0,10.816788844678596,5,2,2,-11.0,11.0,-3.0,5.0
173,main_green,main_green,53,49.0,10.973118982725227,4,2,2,-11.0,11.0,-3.0,5.0
174,main_green,main_green,51,53.0,10.901983579194413,4,2,2,-11.0,11.0,-3.0,5.0
175,main_green,main_green,50,57.0,10.489290775395482,5,2,2,-1.0,17.0,-2.0,4.0
176,main_green,main_green,50,61.0,10.211396662148609,5,2,2,-1.0,17.0,-2.0,4.0
177,main_green,main_green,50,68.0,10.276239277119492,7,2,2,-1.0,17.0,-2.0,4.0
178,main_green,main_green,47,76.0,10.176698006175998,8,2,2,-1.0,17.0,-2.0,4.0
179,main_green,main_green,47,84.0,10.201034095977034,8,2,2,-1.0,17.0,-2.0,4.0
180,main_green,main_green,50,92.0,9.225948824377687,13,2,2,-1.0,17.0,-2.0,4.0
181,main_green,main_green,51,100.0,9.216492295154854,9,2,2,-1.0,17.0,-2.0,4.0
182,main_green,main_green,51,108.0,9.525964113852812,8,2,2,-1.0,17.0,-2.0,4.0
183,main_green,main_green,51,116.0,9.703018874983542,8,2,2,-1.0,17.0,-2.0,4.0
184,main_green,main_green,51,124.0,9.662789175065937,9,2,2,-1.0,17.0,-2.0,4.0
185,main_green,main_green,51,132.0,9.657492413499067,8,2,2,0.0,10.0,9.0,17.0
186,main_green,main_green,52,140.0,9.540122500253915,9,2,2,0.0,10.0,9.0,17.0
187,main_green,main_green,52,148.0,9.482340077292474,8,2,2,0.0,10.0,9.0,17.0
188,main_green,main_green,53,156.0,9.295751193646046,9,2,2,0.0,10.0,9.0,17.0
189,main_green,main_green,53,168.0,9.48348323419639,12,2,2,0.0,10.0,9.0,17.0
190,main_green,main_green,51,180.0,9.350411286452537,12,2,2,0.0,10.0,9.0,17.0
191,main_green,main_green,50,192.0,9.131733504970141,13,2,2,0.0,10.0,9.0,17.0
192,main_green,main_green,54,204.0,8.394613373629685,17,2,2,0.0,10.0,9.0,17.0
193,main_green,main_green,54,216.0,8.551261635230228,12,2,2,0.0,10.0,9.0,17.0
194,main_green,main_green,54,228.0,8.7706296248084,12,2,2,0.0,10.0,9.0,17.0
195,main_green,main_green,53,240.0,8.937435888475031,12,2,2,5.0,9.0,15.0,15.0
196,main_green,main_green,55,252.0,8.674692265244873,14,2,2,5.0,9.0,15.0,15.0
197,main_green,main_green,55,264.0,8.725418271085749,12,2,2,5.0,9.0,15.0,15.0
