step,vehicle_count,total_waiting_time,mean_speed,phase,state
267,49,185.0,6.376528272324587,3,rrrGGgrrrGGg
268,49,196.0,6.263730197666356,3,rrrGGgrrrGGg
269,50,207.0,6.3148717540486174,3,rrrGGgrrrGGg
270,49,218.0,6.328688040648627,3,rrrGGgrrrGGg
271,50,230.0,6.434500786340907,3,rrrGGgrrrGGg
272,50,242.0,6.63376285574615,3,rrrGGgrrrGGg
273,51,255.0,6.733528114039924,3,rrrGGgrrrGGg
274,53,268.0,6.748188295467999,3,rrrGGgrrrGGg
275,53,281.0,6.994404666858537,4,rrryyyrrryyy
276,54,294.0,7.018798214585831,4,rrryyyrrryyy
277,53,307.0,6.921038564811062,4,rrryyyrrryyy
278,54,321.0,6.856704619479829,5,rrrrrrrrrrrr
279,53,336.0,6.756241213302106,5,rrrrrrrrrrrr
280,52,250.0,6.972242294274611,0,GGgrrrGGgrrr
281,54,174.0,7.058385360866863,0,GGgrrrGGgrrr
282,54,128.0,7.4349495754126735,0,GGgrrrGGgrrr
283,54,87.0,7.507297434368841,0,GGgrrrGGgrrr
284,54,49.0,7.781175923103764,0,GGgrrrGGgrrr
285,52,26.0,7.888974150679538,0,GGgrrrGGgrrr
286,52,15.0,7.4880368381633575,0,GGgrrrGGgrrr
287,52,18.0,7.620864270382076,0,GGgrrrGGgrrr
288,52,21.0,7.206892481961523,0,GGgrrrGGgrrr
289,52,25.0,7.311761485942442,0,GGgrrrGGgrrr
290,52,30.0,7.390531131172072,0,GGgrrrGGgrrr
291,52,36.0,7.093901002829877,0,GGgrrrGGgrrr
292,53,43.0,7.035767171137307,0,GGgrrrGGgrrr
293,52,45.0,6.744474041875479,0,GGgrrrGGgrrr
294,51,48.0,6.8133202261746835,0,GGgrrrGGgrrr
295,50,52.0,6.885468486705896,0,GGgrrrGGgrrr
296,51,57.0,6.892152577490424,0,GGgrrrGGgrrr
297,50,62.0,6.859843103925488,0,GGgrrrGGgrrr
298,50,65.0,6.6070248873286745,0,GGgrrrGGgrrr
299,49,73.0,6.613027671657467,0,GGgrrrGGgrrr
300,48,76.0,6.3411426804839754,0,GGgrrrGGgrrr
301,48,83.0,6.485755692684161,0,GGgrrrGGgrrr
302,49,91.0,6.486774974607811,0,GGgrrrGGgrrr
303,50,100.0,6.421385063190983,0,GGgrrrGGgrrr
304,50,109.0,6.488880344466587,0,GGgrrrGGgrrr
305,50,117.0,6.5715377898050376,0,GGgrrrGGgrrr
306,50,127.0,6.711309915465207,0,GGgrrrGGgrrr
307,53,138.0,6.442023913129126,0,GGgrrrGGgrrr
308,53,149.0,6.418392610185369,0,GGgrrrGGgrrr
309,53,160.0,6.636291055413803,0,GGgrrrGGgrrr
310,53,172.0,6.762477850239242,1,yyyrrryyyrrr
311,53,184.0,6.778059960481604,1,yyyrrryyyrrr
312,54,193.0,6.662467385848345,1,yyyrrryyyrrr
313,56,205.0,6.383915187932898,2,rrrrrrrrrrrr
314,54,218.0,6.159843023762341,2,rrrrrrrrrrrr
315,53,139.0,6.1459168468020655,3,rrrGGgrrrGGg
316,52,84.0,6.103816401203073,3,rrrGGgrrrGGg
317,51,58.0,6.110629258669803,3,rrrGGgrrrGGg
318,50,43.0,5.802575139589891,3,rrrGGgrrrGGg
319,52,35.0,5.646787476936675,3,rrrGGgrrrGGg
320,52,30.0,5.6079063848726225,3,rrrGGgrrrGGg
321,51,30.0,5.391816274807167,3,rrrGGgrrrGGg
322,51,39.0,5.372342794550447,3,rrrGGgrrrGGg
323,52,42.0,5.310262572739362,3,rrrGGgrrrGGg
324,53,48.0,5.2662067271965824,3,rrrGGgrrrGGg
325,54,58.0,5.2976294100011065,3,rrrGGgrrrGGg
326,51,64.0,5.091546735834025,3,rrrGGgrrrGGg
327,50,72.0,5.050051334837531,3,rrrGGgrrrGGg
328,48,81.0,4.850089414058465,3,rrrGGgrrrGGg
329,49,89.0,4.8567685148768,3,rrrGGgrrrGGg
330,49,98.0,5.100752908144539,3,rrrGGgrrrGGg
331,50,108.0,5.260778595560168,3,rrrGGgrrrGGg
332,50,118.0,5.4672744132610305,3,rrrGGgrrrGGg
333,51,127.0,5.400974770654416,3,rrrGGgrrrGGg
334,52,137.0,5.338541159661394,3,rrrGGgrrrGGg
335,52,148.0,5.499206806244954,3,rrrGGgrrrGGg
336,52,159.0,5.455037621685672,3,rrrGGgrrrGGg
337,52,172.0,5.512917264731763,3,rrrGGgrrrGGg
338,52,184.0,5.6077857905898485,3,rrrGGgrrrGGg
339,53,195.0,5.340010241178429,3,rrrGGgrrrGGg
340,54,209.0,5.4617248269669325,3,rrrGGgrrrGGg
341,54,223.0,5.722019023475566,3,rrrGGgrrrGGg
342,54,237.0,5.977291938572444,3,rrrGGgrrrGGg
343,54,251.0,6.236095155100072,3,rrrGGgrrrGGg
344,54,265.0,6.205664306200753,3,rrrGGgrrrGGg
345,54,280.0,6.48014805175461,4,rrryyyrrryyy
346,55,295.0,6.327001033295207,4,rrryyyrrryyy
347,55,310.0,6.521072144227391,4,rrryyyrrryyy
348,56,326.0,6.574400822885237,5,rrrrrrrrrrrr
349,57,342.0,6.397829327860451,5,rrrrrrrrrrrr
350,56,259.0,6.202009428833365,0,GGgrrrGGgrrr
351,55,192.0,5.997973731641133,0,GGgrrrGGgrrr
352,54,131.0,5.8445172433565675,0,GGgrrrGGgrrr
353,55,84.0,5.884290697561515,0,GGgrrrGGgrrr
354,55,51.0,5.773798152232987,0,GGgrrrGGgrrr
355,56,50.0,5.955179009207276,0,GGgrrrGGgrrr
356,57,44.0,5.973333753612489,0,GGgrrrGGgrrr
