decision,step,action,vehicle_count,total_waiting_time,mean_speed,current_green,queue_phase_0,queue_phase_3,reward,done
8,259,0,42,75.0,5.245755011657641,0,8,5,-75.0,False
8,260,0,42,81.0,5.362795803787815,0,5,6,-81.0,False
8,261,0,41,87.0,5.3830781999028945,0,4,6,-87.0,False
8,262,0,41,85.0,5.37182215917834,0,4,7,-85.0,False
8,263,0,42,79.0,5.558189558012414,0,2,8,-79.0,False
8,264,0,43,75.0,5.746952662070124,0,1,7,-75.0,False
8,265,0,43,81.0,6.000917649576325,0,1,7,-81.0,False
8,266,0,43,89.0,6.164466063416761,0,1,7,-89.0,False
8,267,0,44,96.0,6.141714395169739,0,0,8,-96.0,False
8,268,0,45,102.0,6.1522926319044995,0,1,8,-102.0,False
8,269,0,46,110.0,6.145284475082809,0,2,7,-110.0,False
8,270,0,47,119.0,6.163974246634837,0,2,8,-119.0,False
8,271,0,47,128.0,6.446309557244369,0,2,9,-128.0,False
9,272,0,48,137.0,6.598068944754718,0,1,10,-137.0,False
9,273,0,48,144.0,6.8335978192884355,0,1,9,-144.0,False
9,274,0,48,153.0,6.546416086480153,0,2,9,-153.0,False
9,275,0,48,162.0,5.991441030767636,0,1,10,-162.0,False
9,276,0,47,172.0,5.914958141602332,0,0,9,-172.0,False
9,277,0,48,183.0,5.811669553021539,0,0,10,-183.0,False
9,278,0,48,195.0,5.889854543553803,0,0,10,-195.0,False
9,279,0,49,208.0,6.0130098874396545,0,1,11,-208.0,False
9,280,0,48,222.0,6.179150472581934,0,1,11,-222.0,False
9,281,0,48,237.0,6.370506616454114,0,2,11,-237.0,False
9,282,0,49,252.0,6.1968899309170755,0,2,13,-252.0,False
9,283,0,48,267.0,6.262466585141919,0,2,11,-267.0,False
9,284,0,48,282.0,6.161419799162867,0,3,11,-282.0,False
9,285,0,48,286.0,6.367352927873156,0,2,11,-286.0,False
9,286,0,48,290.0,6.5751907044360065,0,2,11,-290.0,False
9,287,0,50,295.0,6.459501629340358,0,1,13,-295.0,False
9,288,0,50,299.0,6.567355954223794,0,0,11,-299.0,False
9,289,0,51,311.0,6.288029176748301,0,2,12,-311.0,False
9,290,0,50,324.0,6.339745200405524,0,0,13,-324.0,False
9,291,0,49,337.0,6.347997593714796,0,0,13,-337.0,False
9,292,0,49,350.0,6.48971486420918,0,0,13,-350.0,False
9,293,0,50,364.0,6.412419816109215,0,0,16,-364.0,False
9,294,0,51,378.0,6.546367541683846,0,1,14,-378.0,False
9,295,0,50,392.0,6.463228527738292,0,0,14,-392.0,False
9,296,0,50,406.0,6.506615117295678,0,0,14,-406.0,False
9,297,0,49,420.0,6.422202753331101,0,0,14,-420.0,False
9,298,0,49,435.0,6.350245356762339,0,0,16,-435.0,False
9,299,0,50,451.0,6.375530081502856,0,1,16,-451.0,False
9,300,0,50,467.0,6.475278474731068,0,0,16,-467.0,False
9,301,0,51,483.0,6.330715784977303,0,1,16,-483.0,False
10,302,1,51,501.0,6.39319059392471,0,0,18,0.0,False
10,303,1,52,519.0,6.360024503693024,0,0,19,0.0,False
10,304,1,53,537.0,6.308919739691617,0,1,18,0.0,False
10,305,1,53,556.0,6.427239682358784,0,0,19,0.0,False
10,306,1,53,576.0,6.51503295228691,0,0,20,0.0,False
10,307,1,53,463.0,6.624693168943717,3,0,17,-463.0,False
10,308,1,54,363.0,6.044178467256269,3,1,16,-363.0,False
10,309,1,54,276.0,5.786001895742423,3,1,12,-276.0,False
10,310,1,53,201.0,5.695333375993548,3,1,10,-201.0,False
10,311,1,53,139.0,5.784737653440358,3,2,9,-139.0,False
10,312,1,52,115.0,5.860261755109564,3,2,8,-115.0,False
10,313,1,53,101.0,5.918137712230978,3,2,8,-101.0,False
10,314,1,54,66.0,5.686285499101964,3,4,7,-66.0,False
10,315,1,54,48.0,5.805958678992194,3,3,4,-48.0,False
10,316,1,51,37.0,5.3701297956759815,3,3,3,-37.0,False
10,317,1,51,40.0,5.524159969423822,3,3,3,-40.0,False
10,318,1,51,31.0,5.67600160313172,3,3,3,-31.0,False
10,319,1,52,31.0,5.3994817508610575,3,5,3,-31.0,False
10,320,1,53,30.0,5.3392864340144115,3,5,0,-30.0,False
10,321,1,53,34.0,5.451064775015027,3,4,0,-34.0,False
10,322,1,51,40.0,5.174375671490812,3,6,0,-40.0,False
10,323,1,50,46.0,5.12315058154847,3,6,0,-46.0,False
10,324,1,51,52.0,4.963052357068414,3,7,1,-52.0,False
10,325,1,51,59.0,5.293235027522514,3,7,0,-59.0,False
10,326,1,52,66.0,5.463058602970845,3,7,1,-66.0,False
10,327,1,52,73.0,5.737070752734739,3,7,0,-73.0,False
10,328,1,51,80.0,5.798638456904374,3,7,0,-80.0,False
10,329,1,52,87.0,5.914638802236183,3,8,0,-87.0,False
10,330,1,52,94.0,6.202997005885296,3,7,0,-94.0,False
10,331,1,52,101.0,6.491990323090841,3,7,0,-101.0,False
10,332,1,53,109.0,6.607891464021961,3,8,1,-109.0,False
10,333,1,53,117.0,6.745331508341453,3,8,0,-117.0,False
10,334,1,55,125.0,6.574734054695966,3,9,1,-125.0,False
10,335,1,55,133.0,6.838672337778633,3,8,0,-133.0,False
10,336,1,55,142.0,6.9953337600779,3,9,0,-142.0,False
11,337,0,56,151.0,6.943872816605844,3,10,0,0.0,False
11,338,0,56,161.0,7.073996148226384,3,10,0,0.0,False
11,339,0,57,172.0,7.115301540164749,3,12,0,0.0,False
11,340,0,57,184.0,6.985909168237746,3,12,1,0.0,False
11,341,0,57,196.0,6.911018876653923,3,12,1,0.0,False
11,342,0,55,133.0,6.799323340622666,0,9,1,-133.0,False
11,343,0,55,85.0,6.9736559408305405,0,6,1,-85.0,False
11,344,0,55,59.0,6.859437165770762,0,5,3,-59.0,False
11,345,0,54,35.0,6.805133221720193,0,2,3,-35.0,False
11,346,0,54,20.0,6.946320097091399,0,2,4,-20.0,False
11,347,0,56,19.0,6.727810477722579,0,2,6,-19.0,False
11,348,0,55,24.0,6.538684175026762,0,0,6,-24.0,False
11,349,0,55,33.0,6.026080361440256,0,1,9,-33.0,False
11,350,0,55,44.0,6.015351121820049,0,1,9,-44.0,False
11,351,0,54,54.0,5.944193406366161,0,0,10,-54.0,False
11,352,0,54,65.0,6.014162337474211,0,0,10,-65.0,False
11,353,0,52,78.0,5.915749718537482,0,0,11,-78.0,False
11,354,0,53,92.0,6.032855043067828,0,0,13,-92.0,False
11,355,0,51,107.0,5.856724797282428,0,0,13,-107.0,False
11,356,0,52,122.0,5.560003382232326,0,1,14,-122.0,False
11,357,0,53,137.0,5.539833639362091,0,1,13,-137.0,False
