step,vehicle_count,total_waiting_time,mean_speed,phase,queue_phase_0,queue_phase_3,state
263,42,110.0,6.11117899296061,0,0,8,GGgrrrGGgrrr
264,42,121.0,6.205601274463872,0,1,8,GGgrrrGGgrrr
265,43,125.0,6.214211655480258,0,2,8,GGgrrrGGgrrr
266,44,133.0,6.257082364114649,0,3,10,GGgrrrGGgrrr
267,45,139.0,6.321347554865979,0,1,10,GGgrrrGGgrrr
268,45,147.0,6.480699405491569,0,1,9,GGgrrrGGgrrr
269,46,156.0,6.505337063364647,0,2,9,GGgrrrGGgrrr
270,46,166.0,6.570466910841358,1,1,10,yyyrrryyyrrr
271,48,177.0,6.407205403582661,1,2,11,yyyrrryyyrrr
272,48,189.0,6.5453738492502085,1,2,10,yyyrrryyyrrr
273,45,201.0,6.2045867368751795,2,2,10,rrrrrrrrrrrr
274,45,214.0,5.976795232959923,2,3,11,rrrrrrrrrrrr
275,46,163.0,5.897707505292081,3,5,8,rrrGGgrrrGGg
276,48,115.0,5.666395921481421,3,5,7,rrrGGgrrrGGg
277,46,82.0,5.483453653207361,3,5,5,rrrGGgrrrGGg
278,45,60.0,5.493820622352918,3,5,4,rrrGGgrrrGGg
279,45,49.0,5.73265483459059,3,5,2,rrrGGgrrrGGg
280,44,42.0,5.846757551634846,3,6,1,rrrGGgrrrGGg
281,46,50.0,5.649228825372831,3,8,3,rrrGGgrrrGGg
282,46,52.0,6.078505381486656,3,7,0,rrrGGgrrrGGg
283,46,59.0,6.396018428455825,3,7,0,rrrGGgrrrGGg
284,46,66.0,6.558341103804672,3,7,0,rrrGGgrrrGGg
285,44,73.0,6.3775112506420815,3,7,0,rrrGGgrrrGGg
286,47,81.0,6.119772964278357,3,9,2,rrrGGgrrrGGg
287,47,89.0,6.378121835670536,3,8,0,rrrGGgrrrGGg
288,48,97.0,6.5163991865688375,3,9,0,rrrGGgrrrGGg
289,48,106.0,6.811799132590038,3,9,0,rrrGGgrrrGGg
290,48,115.0,6.9437893331234415,3,9,0,rrrGGgrrrGGg
291,50,124.0,6.730834245467078,3,10,1,rrrGGgrrrGGg
292,49,134.0,6.4400267816466705,3,10,1,rrrGGgrrrGGg
293,49,145.0,6.721905829042151,3,11,0,rrrGGgrrrGGg
294,49,156.0,6.990600107905899,3,11,0,rrrGGgrrrGGg
295,49,167.0,7.0916172765774315,3,11,0,rrrGGgrrrGGg
296,51,178.0,6.994552593229702,3,12,1,rrrGGgrrrGGg
297,50,189.0,7.002706445285011,3,11,0,rrrGGgrrrGGg
298,50,201.0,7.22573761057588,3,12,0,rrrGGgrrrGGg
299,50,213.0,7.183528912024298,3,12,0,rrrGGgrrrGGg
300,50,226.0,6.954918539724324,3,13,0,rrrGGgrrrGGg
301,52,239.0,6.858830241890773,3,13,1,rrrGGgrrrGGg
302,52,253.0,7.090265319306914,3,13,0,rrrGGgrrrGGg
303,52,263.0,7.230400629437531,3,13,0,rrrGGgrrrGGg
304,52,277.0,7.380836570735283,3,13,0,rrrGGgrrrGGg
305,52,292.0,7.4250443812338025,4,14,0,rrryyyrrryyy
306,54,307.0,7.130211065283181,4,15,1,rrryyyrrryyy
307,54,323.0,6.564578323700216,4,15,1,rrryyyrrryyy
308,53,339.0,6.459855105909768,5,14,0,rrrrrrrrrrrr
309,52,350.0,6.419193536369315,5,15,0,rrrrrrrrrrrr
310,52,243.0,6.6233032878332185,0,12,1,GGgrrrGGgrrr
311,53,181.0,6.7003840895123465,0,10,0,GGgrrrGGgrrr
312,52,124.0,6.543682711783402,0,6,1,GGgrrrGGgrrr
313,52,71.0,6.427725145891255,0,5,1,GGgrrrGGgrrr
314,52,32.0,6.597619255429451,0,3,0,GGgrrrGGgrrr
315,51,16.0,6.501124275499563,0,1,2,GGgrrrGGgrrr
316,51,20.0,6.333146709647304,0,2,2,GGgrrrGGgrrr
317,50,9.0,6.292291849091057,0,0,3,GGgrrrGGgrrr
318,51,11.0,6.275445190675304,0,1,4,GGgrrrGGgrrr
319,52,13.0,6.2658583974026625,0,1,3,GGgrrrGGgrrr
320,50,18.0,6.028197892988967,0,0,5,GGgrrrGGgrrr
321,50,23.0,5.932524508002631,0,1,5,GGgrrrGGgrrr
322,50,28.0,6.0923021163680575,0,0,5,GGgrrrGGgrrr
323,51,35.0,6.1002191084899104,0,0,7,GGgrrrGGgrrr
324,51,42.0,6.328543789037388,0,0,6,GGgrrrGGgrrr
325,50,47.0,6.184040681308207,0,0,8,GGgrrrGGgrrr
326,50,54.0,6.46887943101905,0,0,7,GGgrrrGGgrrr
327,50,61.0,6.370814867628901,0,1,7,GGgrrrGGgrrr
328,50,68.0,6.559422740695759,0,0,7,GGgrrrGGgrrr
329,50,76.0,6.732315283550295,0,0,8,GGgrrrGGgrrr
330,49,84.0,6.795991910272311,0,0,8,GGgrrrGGgrrr
331,50,93.0,6.876737591430491,0,0,10,GGgrrrGGgrrr
332,51,102.0,6.984469929660147,0,1,9,GGgrrrGGgrrr
333,52,111.0,7.061092854605908,0,0,10,GGgrrrGGgrrr
334,52,120.0,7.1491640261380685,0,0,9,GGgrrrGGgrrr
335,51,129.0,7.130745343321131,0,0,9,GGgrrrGGgrrr
336,52,139.0,7.103105023835833,0,1,9,GGgrrrGGgrrr
337,53,147.0,7.1703433963905185,0,1,9,GGgrrrGGgrrr
338,53,157.0,7.266458113807104,0,0,10,GGgrrrGGgrrr
339,54,167.0,7.087508890761934,0,0,11,GGgrrrGGgrrr
340,55,177.0,6.925057236897135,1,0,11,yyyrrryyyrrr
341,54,188.0,6.7812264239055935,1,0,10,yyyrrryyyrrr
342,54,200.0,6.4687130096499335,1,1,11,yyyrrryyyrrr
343,53,214.0,6.38745215529785,2,1,12,rrrrrrrrrrrr
344,52,228.0,6.331801403734678,2,1,12,rrrrrrrrrrrr
345,50,182.0,6.2477916160619795,3,3,10,rrrGGgrrrGGg
346,51,135.0,6.025034370481679,3,5,10,rrrGGgrrrGGg
347,50,98.0,5.761928259899941,3,6,7,rrrGGgrrrGGg
348,50,78.0,5.719124622497584,3,5,6,rrrGGgrrrGGg
349,49,64.0,5.671084046099031,3,6,3,rrrGGgrrrGGg
350,49,54.0,5.690116899725008,3,6,2,rrrGGgrrrGGg
351,49,50.0,5.66979230535334,3,6,2,rrrGGgrrrGGg
352,48,50.0,5.194937987773369,3,8,2,rrrGGgrrrGGg
353,49,58.0,5.212568170094874,3,8,4,rrrGGgrrrGGg
354,49,66.0,5.367846322710474,3,8,3,rrrGGgrrrGGg
355,50,74.0,5.4086058409740465,3,8,4,rrrGGgrrrGGg
356,51,82.0,5.446036737252302,3,10,2,rrrGGgrrrGGg
357,52,89.0,5.580433009302147,3,10,1,rrrGGgrrrGGg
358,48,96.0,5.191975567205913,3,9,1,rrrGGgrrrGGg
359,48,105.0,5.234751257310013,3,10,1,rrrGGgrrrGGg
360,48,115.0,5.425879900182675,3,10,0,rrrGGgrrrGGg
361,47,125.0,5.359988557949035,3,10,0,rrrGGgrrrGGg
362,48,135.0,5.382665223768311,3,11,0,rrrGGgrrrGGg
363,48,145.0,5.674387078514692,3,10,0,rrrGGgrrrGGg
364,50,155.0,5.788799086652283,3,11,1,rrrGGgrrrGGg
365,50,166.0,6.190135480184133,3,11,0,rrrGGgrrrGGg
366,50,177.0,6.417929662660445,3,11,0,rrrGGgrrrGGg
367,52,188.0,6.378867558588565,3,12,1,rrrGGgrrrGGg
368,52,199.0,6.518564911931521,3,11,0,rrrGGgrrrGGg
369,52,210.0,6.642413785886963,3,11,0,rrrGGgrrrGGg
370,51,222.0,6.58665229623358,3,12,0,rrrGGgrrrGGg
371,51,234.0,6.613466864226146,3,12,0,rrrGGgrrrGGg
372,52,247.0,6.307241887053177,3,14,1,rrrGGgrrrGGg
373,52,260.0,6.5604353196466665,3,13,0,rrrGGgrrrGGg
374,52,274.0,6.837150588682902,3,14,0,rrrGGgrrrGGg
375,53,288.0,6.946400946203389,4,14,1,rrryyyrrryyy
376,53,302.0,7.107075514848303,4,14,0,rrryyyrrryyy
377,54,316.0,6.706555446983429,4,16,0,rrryyyrrryyy
378,54,330.0,6.55363062431314,5,14,1,rrrrrrrrrrrr
379,54,346.0,6.679812855901122,5,15,1,rrrrrrrrrrrr
380,54,251.0,6.918105773308132,0,11,1,GGgrrrGGgrrr
381,54,196.0,7.134556310127704,0,9,1,GGgrrrGGgrrr
382,54,143.0,7.04472862782051,0,8,2,GGgrrrGGgrrr
383,54,96.0,6.951440233404656,0,5,3,GGgrrrGGgrrr
384,54,52.0,7.080748634044011,0,3,2,GGgrrrGGgrrr
385,53,31.0,7.245803109695912,0,2,3,GGgrrrGGgrrr
386,53,36.0,7.399691016498409,0,2,3,GGgrrrGGgrrr
387,55,28.0,6.911559164980809,0,3,4,GGgrrrGGgrrr
388,55,23.0,6.700881648556997,0,0,4,GGgrrrGGgrrr
389,54,29.0,6.629368336969405,0,0,4,GGgrrrGGgrrr
390,53,36.0,6.6402799798410825,0,0,5,GGgrrrGGgrrr
391,52,39.0,6.6809179026600685,0,1,5,GGgrrrGGgrrr
392,52,43.0,6.589681656994289,0,2,6,GGgrrrGGgrrr
393,51,48.0,6.427231113653021,0,1,7,GGgrrrGGgrrr
