step,decision,vehicle_count,total_waiting_time,mean_speed,total_queue,departed_this_step,arrived_this_step,total_departed,total_arrived,action_j1,J1_phase,action_j2,J2_phase,action_j3,J3_phase,action_j4,J4_phase,action_j5,J5_phase
174,3,125,484.0,6.767458301245317,40,0,0,216,103,0,0,1,2,0,0,1,2,0,0
175,3,124,527.0,6.665878569200189,43,0,1,216,104,0,0,1,2,0,0,1,2,0,0
176,3,124,573.0,6.395485902195063,47,1,1,217,105,0,0,1,2,0,0,1,2,0,0
177,3,124,622.0,6.067235029148878,50,1,1,218,106,0,0,1,2,0,0,1,2,0,0
178,3,124,674.0,5.780698261862384,52,0,0,218,106,0,0,1,2,0,0,1,2,0,0
179,3,124,730.0,5.5122400289750155,56,0,0,218,106,0,0,1,2,0,0,1,2,0,0
180,3,124,788.0,5.093360381238827,58,0,0,218,106,0,0,1,2,0,0,1,2,0,0
181,3,132,850.0,4.190620791929445,73,11,3,229,109,0,0,1,2,0,0,1,2,0,0
182,4,131,913.0,3.8495919519631547,64,1,2,230,111,1,1,0,3,1,1,0,3,1,1
183,4,131,979.0,3.7883251258874995,66,0,0,230,111,1,1,0,3,1,1,0,3,1,1
184,4,131,1049.0,3.644775617327848,70,0,0,230,111,1,1,0,3,1,1,0,3,1,1
185,4,132,660.0,3.8129036563359997,60,1,0,231,111,1,2,0,0,1,2,0,0,1,2
186,4,132,460.0,4.2687327490140365,47,0,0,231,111,1,2,0,0,1,2,0,0,1,2
187,4,132,348.0,4.73221193047345,44,1,1,232,112,1,2,0,0,1,2,0,0,1,2
188,4,132,267.0,5.480541488659476,39,0,0,232,112,1,2,0,0,1,2,0,0,1,2
189,4,133,214.0,6.176947307177501,35,1,0,233,112,1,2,0,0,1,2,0,0,1,2
190,4,133,179.0,6.861297999457482,28,0,0,233,112,1,2,0,0,1,2,0,0,1,2
191,4,133,153.0,7.5659994488546065,25,0,0,233,112,1,2,0,0,1,2,0,0,1,2
192,4,134,131.0,8.11798394636285,21,1,0,234,112,1,2,0,0,1,2,0,0,1,2
193,4,144,131.0,7.908415685487601,30,11,1,245,113,1,2,0,0,1,2,0,0,1,2
194,4,142,108.0,8.321625657400222,15,0,2,245,115,1,2,0,0,1,2,0,0,1,2
195,4,141,101.0,8.663118758362675,13,0,1,245,116,1,2,0,0,1,2,0,0,1,2
196,4,139,77.0,9.087043166838429,11,0,2,245,118,1,2,0,0,1,2,0,0,1,2
197,4,141,70.0,9.484934138712267,13,2,0,247,118,1,2,0,0,1,2,0,0,1,2
198,4,141,63.0,10.02119431769649,11,0,0,247,118,1,2,0,0,1,2,0,0,1,2
199,4,141,58.0,10.49258160618968,9,0,0,247,118,1,2,0,0,1,2,0,0,1,2
200,4,141,67.0,10.775829146204737,9,0,0,247,118,1,2,0,0,1,2,0,0,1,2
201,4,142,76.0,10.91933076467669,10,1,0,248,118,1,2,0,0,1,2,0,0,1,2
202,4,143,85.0,10.985169695924794,10,1,0,249,118,1,2,0,0,1,2,0,0,1,2
203,4,143,94.0,11.085060613482797,9,0,0,249,118,1,2,0,0,1,2,0,0,1,2
204,4,143,103.0,11.204127556294988,9,0,0,249,118,1,2,0,0,1,2,0,0,1,2
205,4,152,112.0,10.333257790033056,20,11,2,260,120,1,2,0,0,1,2,0,0,1,2
206,4,152,121.0,10.497009609722094,9,0,0,260,120,1,2,0,0,1,2,0,0,1,2
207,4,152,130.0,10.43499579122761,10,1,1,261,121,1,2,0,0,1,2,0,0,1,2
208,4,152,141.0,10.512703435669223,11,0,0,261,121,1,2,0,0,1,2,0,0,1,2
209,4,153,154.0,10.426737659804916,14,1,0,262,121,1,2,0,0,1,2,0,0,1,2
210,4,153,168.0,10.437669289661459,14,0,0,262,121,1,2,0,0,1,2,0,0,1,2
211,4,149,182.0,10.195354952646044,14,0,4,262,125,1,2,0,0,1,2,0,0,1,2
212,4,149,198.0,9.712158877765434,17,1,1,263,126,1,2,0,0,1,2,0,0,1,2
213,4,147,217.0,9.04725480301924,20,1,3,264,129,1,2,0,0,1,2,0,0,1,2
214,4,145,239.0,8.75107903344326,22,0,2,264,131,1,2,0,0,1,2,0,0,1,2
215,4,143,262.0,8.391646992602903,24,0,2,264,133,1,2,0,0,1,2,0,0,1,2
216,4,141,293.0,7.9202360724753005,31,0,2,264,135,1,2,0,0,1,2,0,0,1,2
217,4,150,328.0,6.833689668675323,46,11,2,275,137,1,2,0,0,1,2,0,0,1,2
218,4,150,365.0,6.358431784337784,38,1,1,276,138,1,2,0,0,1,2,0,0,1,2
219,4,148,408.0,5.996282420437836,43,0,2,276,140,1,2,0,0,1,2,0,0,1,2
220,4,147,460.0,5.746511875295958,52,0,1,276,141,1,2,0,0,1,2,0,0,1,2
221,4,148,515.0,5.637041020915984,56,1,0,277,141,1,2,0,0,1,2,0,0,1,2
222,4,148,574.0,5.474022559842027,59,0,0,277,141,1,2,0,0,1,2,0,0,1,2
223,4,149,637.0,5.272990538917333,64,1,0,278,141,1,2,0,0,1,2,0,0,1,2
224,4,149,707.0,4.934139921236679,70,0,0,278,141,1,2,0,0,1,2,0,0,1,2
225,4,150,779.0,4.677414565338324,73,1,0,279,141,1,2,0,0,1,2,0,0,1,2
226,4,150,855.0,4.433124246435912,76,0,0,279,141,1,2,0,0,1,2,0,0,1,2
227,5,150,935.0,4.106047543840984,80,0,0,279,141,0,3,1,1,0,3,1,1,0,3
228,5,151,1018.0,3.8623267321071038,84,1,0,280,141,0,3,1,1,0,3,1,1,0,3
229,5,162,1105.0,3.372477562222712,98,11,0,291,141,0,3,1,1,0,3,1,1,0,3
230,5,161,657.0,3.5435784271661475,70,0,1,291,142,0,0,1,2,0,0,1,2,0,0
231,5,161,469.0,3.850830682496018,61,0,0,291,142,0,0,1,2,0,0,1,2,0,0
232,5,161,407.0,4.387411095924147,54,0,0,291,142,0,0,1,2,0,0,1,2,0,0
233,5,163,351.0,4.926735058201068,51,2,0,293,142,0,0,1,2,0,0,1,2,0,0
234,5,162,298.0,5.568006171224262,45,0,1,293,143,0,0,1,2,0,0,1,2,0,0
235,5,161,244.0,6.349030482810264,37,0,1,293,144,0,0,1,2,0,0,1,2,0,0
236,5,161,197.0,7.0712781693059865,35,0,0,293,144,0,0,1,2,0,0,1,2,0,0
237,5,162,176.0,7.576608443350613,31,1,0,294,144,0,0,1,2,0,0,1,2,0,0
238,5,163,145.0,8.024598829955755,26,1,0,295,144,0,0,1,2,0,0,1,2,0,0
239,5,162,124.0,8.454335964297941,21,0,1,295,145,0,0,1,2,0,0,1,2,0,0
240,5,162,120.0,8.814719029667629,18,0,0,295,145,0,0,1,2,0,0,1,2,0,0
241,5,172,109.0,8.662080339686856,27,11,1,306,146,0,0,1,2,0,0,1,2,0,0
242,5,171,107.0,9.02294469478365,15,0,1,306,147,0,0,1,2,0,0,1,2,0,0
243,5,172,104.0,9.342042302083275,14,1,0,307,147,0,0,1,2,0,0,1,2,0,0
244,5,170,105.0,9.631571140777043,12,0,2,307,149,0,0,1,2,0,0,1,2,0,0
245,5,171,118.0,9.91303100395267,14,1,0,308,149,0,0,1,2,0,0,1,2,0,0
246,5,171,134.0,10.237710055883824,16,0,0,308,149,0,0,1,2,0,0,1,2,0,0
247,5,171,151.0,10.47318829507399,17,0,0,308,149,0,0,1,2,0,0,1,2,0,0
248,5,172,169.0,10.598099890699453,19,1,0,309,149,0,0,1,2,0,0,1,2,0,0
249,5,173,187.0,10.6691652103161,19,1,0,310,149,0,0,1,2,0,0,1,2,0,0
250,5,173,205.0,10.744781716409651,18,0,0,310,149,0,0,1,2,0,0,1,2,0,0
251,5,173,223.0,10.732216183943425,18,0,0,310,149,0,0,1,2,0,0,1,2,0,0
252,5,173,241.0,10.660939871060723,18,0,0,310,149,0,0,1,2,0,0,1,2,0,0
253,5,184,261.0,9.97062013752817,31,11,0,321,149,0,0,1,2,0,0,1,2,0,0
254,5,185,281.0,9.813135618377611,21,1,0,322,149,0,0,1,2,0,0,1,2,0,0
255,5,184,301.0,9.650449166676239,20,0,1,322,150,0,0,1,2,0,0,1,2,0,0
256,5,179,323.0,9.354099178558322,22,0,5,322,155,0,0,1,2,0,0,1,2,0,0
257,5,178,348.0,8.960067057163739,26,1,2,323,157,0,0,1,2,0,0,1,2,0,0
258,5,171,377.0,8.538796913337366,29,0,7,323,164,0,0,1,2,0,0,1,2,0,0
259,5,167,411.0,8.102516775230146,35,1,5,324,169,0,0,1,2,0,0,1,2,0,0
260,5,163,449.0,7.796417431301773,38,0,4,324,173,0,0,1,2,0,0,1,2,0,0
261,5,163,492.0,7.427020486561582,44,1,1,325,174,0,0,1,2,0,0,1,2,0,0
262,5,162,538.0,7.071286745280064,46,0,1,325,175,0,0,1,2,0,0,1,2,0,0
263,5,162,588.0,6.679641186630569,50,0,0,325,175,0,0,1,2,0,0,1,2,0,0
264,5,163,642.0,6.1953289104361655,55,1,0,326,175,0,0,1,2,0,0,1,2,0,0
265,5,171,702.0,5.293149191497715,71,11,3,337,178,0,0,1,2,0,0,1,2,0,0
266,5,171,767.0,5.141711117254794,65,0,0,337,178,0,0,1,2,0,0,1,2,0,0
267,5,171,837.0,4.976949194470747,70,0,0,337,178,0,0,1,2,0,0,1,2,0,0
268,5,171,911.0,4.784643705780536,74,0,0,337,178,0,0,1,2,0,0,1,2,0,0
269,5,172,990.0,4.422554514903133,81,2,1,339,179,0,0,1,2,0,0,1,2,0,0
270,5,171,1075.0,4.129099896615721,85,0,1,339,180,0,0,1,2,0,0,1,2,0,0
271,5,171,1168.0,3.880985005609103,93,0,0,339,180,0,0,1,2,0,0,1,2,0,0
272,6,171,1265.0,3.660788777592278,97,0,0,339,180,1,1,0,3,1,1,0,3,1,1
273,6,172,1367.0,3.4268552751123758,103,1,0,340,180,1,1,0,3,1,1,0,3,1,1
274,6,173,1474.0,3.3048130466610575,108,1,0,341,180,1,1,0,3,1,1,0,3,1,1
275,6,173,996.0,3.4799512126050955,93,0,0,341,180,1,2,0,0,1,2,0,0,1,2
276,6,172,708.0,3.7746404400441964,75,0,1,341,181,1,2,0,0,1,2,0,0,1,2
277,6,179,559.0,3.707775562079706,78,11,4,352,185,1,2,0,0,1,2,0,0,1,2
278,6,177,445.0,4.193943367896908,58,0,2,352,187,1,2,0,0,1,2,0,0,1,2
279,6,178,347.0,4.824875933713577,49,1,0,353,187,1,2,0,0,1,2,0,0,1,2
280,6,178,279.0,5.501389149936027,41,0,0,353,187,1,2,0,0,1,2,0,0,1,2
281,6,179,220.0,6.2967236308106225,34,1,0,354,187,1,2,0,0,1,2,0,0,1,2
282,6,178,168.0,7.060351689765802,26,0,1,354,188,1,2,0,0,1,2,0,0,1,2
