step,phase_group,vehicle_count,total_waiting_time,mean_speed,total_queue,J1_phase,J2_phase
289,side_green,62,206.0,7.013473854242026,20,0,0
290,side_green,55,227.0,6.454771829543811,21,0,0
291,side_green,52,248.0,6.242346529299841,21,0,0
292,side_green,48,270.0,5.543255885888268,23,0,0
293,side_green,47,292.0,5.470972353638857,22,0,0
294,side_green,48,314.0,5.585253983849824,23,0,0
295,side_green,47,338.0,5.670786081244473,24,0,0
296,side_green,48,362.0,5.652030567371803,25,0,0
297,side_green,47,387.0,5.511053834331444,25,0,0
298,side_green,44,412.0,5.0405702430844075,25,0,0
299,side_green,45,437.0,4.963533072883936,26,0,0
300,side_green,50,462.0,4.361270061136818,30,0,0
301,side_green,50,487.0,4.4646293601583436,25,0,0
302,side_green,50,513.0,4.561204676982232,26,0,0
303,side_green,50,540.0,4.713518521888166,27,0,0
304,side_green,52,567.0,4.707733897411919,29,0,0
305,side_green,52,596.0,4.957167485736215,29,0,0
306,side_green,52,625.0,5.169736604163542,29,0,0
307,side_green,52,654.0,5.222199114064721,29,0,0
308,side_green,53,684.0,5.0293343274510836,31,0,0
309,side_green,53,714.0,4.785028357367983,31,0,0
310,side_green,51,744.0,4.453478968610472,30,0,0
311,side_green,51,774.0,4.394878731393468,30,0,0
312,side_yellow,56,806.0,3.8922556941638655,37,1,1
313,side_yellow,55,838.0,3.8623360776467393,32,1,1
314,side_yellow,56,870.0,3.920587562458889,33,1,1
315,main_green,56,572.0,4.451665012604402,25,2,2
316,main_green,57,320.0,4.879140297427339,18,2,2
317,main_green,57,142.0,5.529542665017645,11,2,2
318,main_green,57,77.0,6.182953074446879,7,2,2
319,main_green,58,38.0,6.827138480747095,5,2,2
320,main_green,59,15.0,7.564980240786057,5,2,2
321,main_green,56,6.0,8.017873831206568,4,2,2
322,main_green,55,9.0,8.853758826795568,4,2,2
323,main_green,55,13.0,9.444673502517874,4,2,2
324,main_green,60,17.0,9.185006389934424,9,2,2
325,main_green,61,21.0,9.604760453379626,5,2,2
326,main_green,61,25.0,10.053546851058414,4,2,2
327,main_green,61,29.0,10.461075125319867,4,2,2
328,main_green,62,33.0,10.478871701614175,5,2,2
329,main_green,62,37.0,10.656753555128875,4,2,2
330,main_green,63,41.0,10.473710729410447,5,2,2
331,main_green,63,45.0,10.476685331596922,4,2,2
332,main_green,64,50.0,10.32425122601342,6,2,2
333,main_green,64,57.0,10.489009964930498,7,2,2
334,main_green,64,65.0,10.503425719699733,8,2,2
335,main_green,65,73.0,10.39735126536015,9,2,2
336,main_green,70,81.0,9.71577944733296,13,2,2
337,main_green,70,89.0,9.905234020583102,8,2,2
338,main_green,70,97.0,10.105345684707705,8,2,2
339,main_green,70,105.0,10.277753553681753,8,2,2
340,main_green,72,113.0,10.04769077835269,10,2,2
341,main_green,71,121.0,10.103389456459638,8,2,2
342,main_green,69,129.0,10.180805698888173,8,2,2
343,main_green,67,137.0,10.113568199613262,8,2,2
344,main_green,65,145.0,9.735430242978365,9,2,2
345,main_green,65,155.0,9.635897390380913,11,2,2
346,main_green,64,166.0,9.606622768366186,11,2,2
347,main_green,63,177.0,9.543741190585628,11,2,2
348,main_green,68,188.0,8.857558051381137,16,2,2
349,main_green,68,200.0,9.191615716615848,12,2,2
350,main_green,69,212.0,9.32635089537421,13,2,2
351,main_green,69,224.0,9.419727665849747,12,2,2
352,main_green,70,236.0,9.336381574065554,13,2,2
353,main_green,70,248.0,9.354660759817111,12,2,2
354,main_green,70,260.0,9.396156324355188,12,2,2
355,main_green,71,273.0,9.251143187665825,14,2,2
356,main_green,72,287.0,9.209444392032875,15,2,2
357,main_yellow,72,302.0,9.124698571989256,15,3,3
358,main_yellow,72,318.0,9.012967711275515,16,3,3
359,main_yellow,72,335.0,8.72736100407591,17,3,3
360,side_green,77,79.0,8.157634089556801,14,0,0
361,side_green,78,3.0,8.372651781027233,2,0,0
362,side_green,78,7.0,8.777150186102963,4,0,0
363,side_green,76,13.0,9.057764513188289,6,0,0
364,side_green,77,20.0,9.255751596960971,8,0,0
365,side_green,77,29.0,9.60266901569234,9,0,0
366,side_green,76,39.0,9.760269948027728,11,0,0
367,side_green,75,50.0,9.992791877374424,11,0,0
368,side_green,75,61.0,9.793481961950896,12,0,0
369,side_green,73,72.0,9.799234739345685,11,0,0
370,side_green,72,84.0,9.624767043903175,12,0,0
371,side_green,71,96.0,9.256767181497523,13,0,0
372,side_green,75,110.0,8.4951300044744,19,0,0
373,side_green,74,125.0,8.4416529629438,15,0,0
374,side_green,74,140.0,8.471260529499064,15,0,0
375,side_green,72,157.0,8.36614509019023,17,0,0
376,side_green,73,176.0,8.066362458576886,21,0,0
377,side_green,72,195.0,8.015883970392158,19,0,0
378,side_green,70,216.0,8.110503522932328,21,0,0
379,side_green,61,238.0,7.538970235447756,22,0,0
380,side_green,59,260.0,7.1425029729554,23,0,0
381,side_green,53,283.0,6.313394612975982,24,0,0
382,side_green,49,306.0,5.7618894233276885,23,0,0
383,side_green,46,330.0,5.468363049746489,24,0,0
384,side_green,50,354.0,4.772316344055519,29,0,0
385,side_green,50,378.0,4.882680583080002,24,0,0
386,side_green,51,403.0,4.970086252368513,26,0,0
387,side_green,49,429.0,4.936572244326757,26,0,0
388,side_green,50,455.0,5.05580689054508,27,0,0
389,side_green,50,481.0,5.197816893802412,26,0,0
390,side_green,50,508.0,5.295137116238475,27,0,0
391,side_green,51,535.0,5.290400818899636,28,0,0
392,side_green,52,562.0,5.194263340105328,28,0,0
393,side_green,51,590.0,5.028918942547977,28,0,0
394,side_green,49,619.0,4.666857791436316,29,0,0
395,side_green,49,648.0,4.680337948561842,29,0,0
396,side_green,54,677.0,4.191047486397097,34,0,0
397,side_green,55,707.0,4.1820481778288805,31,0,0
398,side_green,55,738.0,4.41237455228994,31,0,0
399,side_green,55,769.0,4.571145141300215,31,0,0
400,side_green,56,800.0,4.543655222400953,32,0,0
401,side_green,56,831.0,4.723380841727271,31,0,0
402,side_yellow,57,862.0,4.732778476775208,32,1,1
403,side_yellow,56,895.0,4.706574583699431,33,1,1
404,side_yellow,57,929.0,4.501303364281203,35,1,1
405,main_green,54,618.0,4.319243593721253,26,2,2
406,main_green,53,347.0,4.746981610272177,19,2,2
407,main_green,54,184.0,5.253048133041166,14,2,2
408,main_green,59,78.0,5.604189136380646,13,2,2
409,main_green,59,30.0,6.691717219765903,5,2,2
410,main_green,59,9.0,7.769746949999115,2,2,2
411,main_green,59,0.0,8.650933279047646,0,2,2
412,main_green,61,0.0,9.168871737144563,2,2,2
413,main_green,61,0.0,9.813184914060834,0,2,2
414,main_green,61,0.0,10.22523386909773,0,2,2
415,main_green,61,0.0,10.629819233760019,0,2,2
416,main_green,62,1.0,10.65991169533948,2,2,2
417,main_green,60,5.0,10.70100178861028,5,2,2
418,main_green,60,9.0,10.867204148029053,4,2,2
419,main_green,59,13.0,11.033901377637566,4,2,2
420,main_green,64,17.0,10.266525259504386,9,2,2
421,main_green,64,21.0,10.47308089233368,4,2,2
422,main_green,65,25.0,10.466560747730341,5,2,2
423,main_green,65,29.0,10.748117137420417,4,2,2
424,main_green,66,33.0,10.697911677922454,5,2,2
425,main_green,66,37.0,10.84103798220931,4,2,2
426,main_green,66,41.0,10.758533532205622,4,2,2
427,main_green,67,45.0,10.54060559813338,5,2,2
428,main_green,68,49.0,10.41548643825427,5,2,2
429,main_green,68,55.0,10.490057599091758,6,2,2
430,main_green,68,63.0,10.54439085655302,8,2,2
431,main_green,65,71.0,10.481605613320797,8,2,2
432,main_green,69,79.0,9.648996022470868,13,2,2
433,main_green,67,87.0,9.636292249860187,9,2,2
434,main_green,67,95.0,9.775422504862672,8,2,2
435,main_green,66,103.0,9.935199394338637,8,2,2
436,main_green,66,111.0,9.815326278506785,9,2,2
437,main_green,65,119.0,9.760613818082572,8,2,2
438,main_green,65,127.0,9.589782838533717,9,2,2
439,main_green,65,136.0,9.742711213184267,9,2,2
440,main_green,66,146.0,9.518017335162169,11,2,2
441,main_green,66,158.0,9.540927720398836,12,2,2
442,main_green,66,170.0,9.580948095418284,12,2,2
443,main_green,67,182.0,9.589964422880517,13,2,2
444,main_green,72,194.0,9.0891268681844,17,2,2
445,main_green,72,206.0,9.310799589800627,12,2,2
446,main_green,72,218.0,9.474045066710753,12,2,2
447,main_yellow,72,230.0,9.584275982651297,12,3,3
448,main_yellow,74,242.0,9.263693530105689,14,3,3
449,main_yellow,74,254.0,9.204670468875374,12,3,3
450,side_green,74,43.0,9.193005122804147,4,0,0
451,side_green,74,0.0,9.398316026620813,0,0,0
452,side_green,75,3.0,9.469213781846225,4,0,0
453,side_green,75,6.0,9.576286676781733,4,0,0
454,side_green,74,11.0,10.00998996650601,5,0,0
455,side_green,73,17.0,10.386991640893182,6,0,0
456,side_green,78,23.0,9.722292268246832,11,0,0
