step,phase,phase_group,vehicle_count,total_waiting_time,mean_speed,total_queue,J1_phase,J2_phase,J3_phase,E1_queue_J1_J2,neg_E1_queue_J2_J1,E2_queue_J2_J3,neg_E2_queue_J3_J2,departed_cumulative,arrived_cumulative
337,2,main_green,106,123.0,9.675,19,2,2,2,0,0,0,0,325,219
338,2,main_green,106,135.0,9.868,12,2,2,2,0,0,0,0,325,219
339,2,main_green,106,147.0,10.057,12,2,2,2,0,0,0,0,325,219
340,2,main_green,106,159.0,10.16,12,2,2,2,0,0,0,0,325,219
341,2,main_green,108,171.0,9.933,14,2,2,2,0,0,0,0,327,219
342,2,main_green,106,183.0,9.804,12,2,2,2,0,0,0,0,327,221
343,2,main_green,106,196.0,9.777,13,2,2,2,0,0,0,0,327,221
344,2,main_green,104,211.0,9.724,15,2,2,2,0,0,0,0,327,223
345,2,main_green,104,227.0,9.721,17,2,2,2,0,0,0,0,328,224
346,2,main_green,103,243.0,9.65,17,2,2,2,0,0,0,0,329,226
347,2,main_green,101,261.0,9.649,18,2,2,2,0,0,0,0,329,228
348,2,main_green,99,279.0,9.64,18,2,2,2,0,0,0,0,329,230
349,2,main_green,104,297.0,9.084,25,2,2,2,0,0,0,0,336,232
350,2,main_green,103,315.0,9.282,18,2,2,2,0,0,0,0,336,233
351,2,main_green,101,333.0,9.266,19,2,2,2,0,0,0,0,337,236
352,2,main_green,100,351.0,9.335,18,2,2,2,0,0,0,0,337,237
353,2,main_green,99,369.0,9.262,19,2,2,2,0,0,0,0,338,239
