step,offset_j2,J1_phase_group,J2_phase_group,vehicle_count,total_waiting_time,mean_speed,total_queue,J1_phase,J2_phase
216,20,side_green,side_green,65,626.0,5.1630306693320565,36,0,0
217,20,side_green,side_green,66,658.0,5.243271538306645,33,0,0
218,20,side_green,side_green,63,690.0,5.0367845897061905,32,0,0
219,20,side_green,side_green,62,723.0,5.003906819178574,33,0,0
220,20,side_green,side_green,61,756.0,4.7549996330037425,34,0,0
221,20,side_green,side_green,59,789.0,4.626908540190424,33,0,0
222,20,side_yellow,side_green,59,824.0,4.568200728499809,36,1,0
223,20,side_yellow,side_green,59,859.0,4.540784886728402,35,1,0
224,20,side_yellow,side_green,60,895.0,4.501257037843643,37,1,0
225,20,main_green,side_green,56,759.0,3.972738176446127,32,2,0
226,20,main_green,side_green,56,641.0,4.260626749356523,29,2,0
227,20,main_green,side_green,56,527.0,4.392215884336641,26,2,0
228,20,main_green,side_green,61,426.0,4.441654230839856,27,2,0
229,20,main_green,side_green,61,339.0,5.109658888814148,18,2,0
230,20,main_green,side_green,61,261.0,5.742807329512053,14,2,0
231,20,main_green,side_green,61,196.0,6.382662018616204,11,2,0
232,20,main_green,side_green,63,152.0,6.712402290329375,11,2,0
233,20,main_green,side_green,63,119.0,7.468302859034089,7,2,0
234,20,main_green,side_green,63,127.0,8.069528768955948,8,2,0
235,20,main_green,side_green,63,135.0,8.534753892322291,8,2,0
236,20,main_green,side_green,64,144.0,8.820716870501828,10,2,0
237,20,main_green,side_green,62,155.0,8.877215977844136,12,2,0
238,20,main_green,side_green,62,166.0,9.311069306161418,11,2,0
239,20,main_green,side_green,62,177.0,9.553762878613938,11,2,0
240,20,main_green,side_green,67,188.0,9.017513189707463,16,2,0
241,20,main_green,side_green,67,200.0,9.251882985957506,12,2,0
242,20,main_green,side_yellow,68,212.0,9.320055810623632,13,2,1
243,20,main_green,side_yellow,68,224.0,9.4416293950134,12,2,1
244,20,main_green,side_yellow,69,236.0,9.360574158771977,13,2,1
245,20,main_green,main_green,69,167.0,9.330652560043456,10,2,2
246,20,main_green,main_green,69,115.0,9.398538534391305,8,2,2
247,20,main_green,main_green,70,77.0,9.37345136766653,7,2,2
248,20,main_green,main_green,71,57.0,9.339241746928076,6,2,2
249,20,main_green,main_green,71,54.0,9.522551243004264,5,2,2
250,20,main_green,main_green,71,61.0,9.88852320887239,7,2,2
251,20,main_green,main_green,71,68.0,10.077788541979176,7,2,2
252,20,main_green,main_green,74,75.0,9.526453394960905,12,2,2
253,20,main_green,main_green,74,82.0,9.80747710390586,8,2,2
254,20,main_green,main_green,72,89.0,10.099742418296364,7,2,2
255,20,main_green,main_green,71,96.0,10.315166703931567,7,2,2
256,20,main_green,main_green,71,103.0,10.377295476652511,8,2,2
257,20,main_green,main_green,71,110.0,10.427012170708457,7,2,2
258,20,main_green,main_green,70,117.0,10.14381503958938,8,2,2
259,20,main_green,main_green,70,124.0,10.182152748395668,7,2,2
260,20,main_green,main_green,69,133.0,10.049145360144992,10,2,2
261,20,main_green,main_green,68,143.0,10.075493240595849,10,2,2
262,20,main_green,main_green,67,153.0,10.125476030395017,10,2,2
263,20,main_green,main_green,66,164.0,9.919664334261915,12,2,2
264,20,main_green,main_green,71,175.0,9.432441759506458,16,2,2
265,20,main_green,main_green,69,186.0,9.577811488496936,11,2,2
266,20,main_green,main_green,69,197.0,9.752197234189195,11,2,2
267,20,main_yellow,main_green,67,208.0,9.726135391156086,11,3,2
268,20,main_yellow,main_green,68,219.0,9.452986585511601,13,3,2
269,20,main_yellow,main_green,68,231.0,9.387941801725741,12,3,2
270,20,side_green,main_green,68,108.0,9.344249058647943,8,0,2
271,20,side_green,main_green,68,71.0,9.26368728582871,6,0,2
272,20,side_green,main_green,69,77.0,9.153320858769812,7,0,2
273,20,side_green,main_green,69,86.0,9.168958598522583,10,0,2
274,20,side_green,main_green,69,97.0,9.333506497717003,11,0,2
275,20,side_green,main_green,68,108.0,9.279993580820602,11,0,2
276,20,side_green,main_green,72,119.0,8.392432457996998,16,0,2
277,20,side_green,main_green,72,132.0,8.438865418299526,13,0,2
278,20,side_green,main_green,72,146.0,8.354510678905296,15,0,2
279,20,side_green,main_green,71,162.0,8.130462710883567,16,0,2
280,20,side_green,main_green,72,180.0,7.882335370836381,19,0,2
281,20,side_green,main_green,72,199.0,7.853832004352226,19,0,2
282,20,side_green,main_green,72,220.0,7.879693729337569,21,0,2
283,20,side_green,main_green,72,242.0,7.582007736224954,23,0,2
284,20,side_green,main_green,73,267.0,7.497175802453199,26,0,2
285,20,side_green,main_green,72,293.0,7.385767402281165,26,0,2
286,20,side_green,main_green,70,320.0,7.264328278812258,27,0,2
287,20,side_green,main_yellow,70,347.0,7.0973357018344005,27,0,3
288,20,side_green,main_yellow,71,374.0,6.1717029326861,32,0,3
289,20,side_green,main_yellow,71,402.0,6.0601324140747534,29,0,3
290,20,side_green,side_green,66,289.0,5.848096640505082,26,0,0
291,20,side_green,side_green,65,264.0,6.017893181240341,23,0,0
292,20,side_green,side_green,64,287.0,5.870307365644998,24,0,0
293,20,side_green,side_green,63,310.0,5.989405165483237,23,0,0
294,20,side_green,side_green,62,334.0,6.089803409388528,25,0,0
295,20,side_green,side_green,60,359.0,6.31855401643,25,0,0
296,20,side_green,side_green,61,384.0,6.52262658192119,26,0,0
297,20,side_green,side_green,60,411.0,6.5687949805791925,27,0,0
298,20,side_green,side_green,58,438.0,6.478897813045704,27,0,0
299,20,side_green,side_green,58,465.0,6.261960062492152,28,0,0
300,20,side_green,side_green,63,492.0,5.713890421092293,32,0,0
301,20,side_green,side_green,63,519.0,5.70024862181064,27,0,0
302,20,side_green,side_green,63,547.0,5.529260253409934,28,0,0
303,20,side_green,side_green,62,575.0,5.371772208437566,28,0,0
304,20,side_green,side_green,64,604.0,5.322005826292291,31,0,0
305,20,side_green,side_green,64,635.0,5.474721483688743,31,0,0
306,20,side_green,side_green,64,668.0,5.670099287508217,33,0,0
307,20,side_green,side_green,64,701.0,5.696644803575124,33,0,0
308,20,side_green,side_green,64,735.0,5.55916830929177,35,0,0
309,20,side_green,side_green,62,769.0,5.083701262963023,35,0,0
310,20,side_green,side_green,60,803.0,4.892564305527014,34,0,0
311,20,side_green,side_green,57,837.0,4.461978982223534,34,0,0
312,20,side_yellow,side_green,62,872.0,4.060932554839905,40,1,0
313,20,side_yellow,side_green,60,908.0,3.8673352436823234,36,1,0
314,20,side_yellow,side_green,60,944.0,3.8288635571686913,37,1,0
315,20,main_green,side_green,60,802.0,4.082388492725106,32,2,0
316,20,main_green,side_green,61,675.0,4.393181324286101,29,2,0
317,20,main_green,side_green,61,557.0,4.758442744027143,26,2,0
318,20,main_green,side_green,61,453.0,5.0700221345996725,22,2,0
319,20,main_green,side_green,62,358.0,5.522751359424241,20,2,0
320,20,main_green,side_green,63,272.0,6.136669112308997,17,2,0
321,20,main_green,side_green,60,204.0,6.358453787277055,14,2,0
322,20,main_green,side_green,59,169.0,6.924399917444236,11,2,0
323,20,main_green,side_green,59,162.0,7.478787058139962,10,2,0
324,20,main_green,side_green,64,172.0,7.443867100676491,15,2,0
325,20,main_green,side_green,65,182.0,7.986823651967177,11,2,0
326,20,main_green,side_green,65,193.0,8.681890624669336,11,2,0
327,20,main_green,side_green,65,204.0,9.046640800435625,11,2,0
328,20,main_green,side_green,66,215.0,9.26403277449193,12,2,0
329,20,main_green,side_green,66,226.0,9.544807659053912,11,2,0
330,20,main_green,side_green,67,238.0,9.474565586406598,13,2,0
331,20,main_green,side_green,67,250.0,9.547044744504772,12,2,0
332,20,main_green,side_yellow,68,262.0,9.40529049327783,13,2,1
333,20,main_green,side_yellow,67,276.0,9.414866796016533,14,2,1
334,20,main_green,side_yellow,67,290.0,9.476589372430583,14,2,1
335,20,main_green,main_green,68,174.0,9.333164720093409,12,2,2
336,20,main_green,main_green,73,122.0,8.883874263039862,15,2,2
337,20,main_green,main_green,72,86.0,9.20242954257231,8,2,2
338,20,main_green,main_green,72,61.0,9.502469246451941,6,2,2
