step,vehicle_count,total_waiting_time,mean_speed,phase,queue_phase_0,queue_phase_3,green_elapsed,state
146,47,212.0,5.604439859342934,2,3,13,0,rrrrrrrrrrrr
147,47,172.0,5.785601277793811,3,3,10,0,rrrGGgrrrGGg
148,47,124.0,5.944001400734849,3,3,8,1,rrrGGgrrrGGg
149,47,90.0,6.154464829858902,3,3,7,2,rrrGGgrrrGGg
150,48,62.0,6.165883871339766,3,3,6,3,rrrGGgrrrGGg
151,49,39.0,6.154831385981783,3,4,3,4,rrrGGgrrrGGg
152,50,28.0,6.166861177913031,3,4,2,5,rrrGGgrrrGGg
153,50,34.0,6.228765819131797,3,4,2,6,rrrGGgrrrGGg
154,48,34.0,5.899063445873259,3,4,1,7,rrrGGgrrrGGg
155,49,36.0,5.945943936073721,3,5,1,8,rrrGGgrrrGGg
156,51,41.0,5.84024196825568,3,7,0,9,rrrGGgrrrGGg
157,50,46.0,5.836466227103117,3,5,0,10,rrrGGgrrrGGg
158,50,51.0,5.9521110089481795,3,5,0,11,rrrGGgrrrGGg
159,50,58.0,6.108171864839712,3,7,0,12,rrrGGgrrrGGg
160,52,65.0,5.933001799855533,3,7,2,13,rrrGGgrrrGGg
161,52,72.0,5.829394941562002,3,8,0,14,rrrGGgrrrGGg
162,51,79.0,5.895705249309638,3,7,0,15,rrrGGgrrrGGg
163,50,86.0,5.945009143399734,3,7,0,16,rrrGGgrrrGGg
164,49,94.0,6.040500032072579,3,8,0,17,rrrGGgrrrGGg
165,51,102.0,6.007126667635559,3,8,2,18,rrrGGgrrrGGg
166,52,112.0,6.059520883004306,3,10,1,19,rrrGGgrrrGGg
167,49,121.0,5.5933678473666655,4,9,1,0,rrryyyrrryyy
168,49,132.0,5.622653533808237,4,9,2,0,rrryyyrrryyy
169,48,145.0,5.526648921445447,4,10,3,0,rrryyyrrryyy
170,48,159.0,5.678328934529142,5,10,4,0,rrrrrrrrrrrr
171,50,175.0,5.475174569452576,5,11,7,0,rrrrrrrrrrrr
172,50,96.0,5.423044754991944,0,6,7,0,GGgrrrGGgrrr
173,49,61.0,5.344739556986673,0,3,8,1,GGgrrrGGgrrr
174,50,47.0,5.429327046326616,0,2,10,2,GGgrrrGGgrrr
175,50,52.0,5.653539640985365,0,0,11,3,GGgrrrGGgrrr
176,51,63.0,5.720865641078345,0,1,11,4,GGgrrrGGgrrr
177,52,75.0,5.805846249995026,0,0,13,5,GGgrrrGGgrrr
178,53,88.0,5.793593371540441,0,0,13,6,GGgrrrGGgrrr
179,53,102.0,5.885721744748574,0,0,12,7,GGgrrrGGgrrr
180,51,116.0,5.631812788709537,0,0,12,8,GGgrrrGGgrrr
181,52,132.0,5.587631916884894,0,1,12,9,GGgrrrGGgrrr
182,53,149.0,5.571300227615744,0,0,14,10,GGgrrrGGgrrr
183,53,156.0,5.6853711055857925,0,1,13,11,GGgrrrGGgrrr
184,53,165.0,5.773571314027404,0,2,13,12,GGgrrrGGgrrr
185,53,178.0,5.855088589101264,0,2,13,13,GGgrrrGGgrrr
186,53,192.0,5.762698584001861,0,2,15,14,GGgrrrGGgrrr
187,52,205.0,5.788419473058643,0,0,15,15,GGgrrrGGgrrr
188,51,220.0,5.736618692046966,0,0,15,16,GGgrrrGGgrrr
189,51,235.0,5.766006905225883,0,0,15,17,GGgrrrGGgrrr
190,50,251.0,5.2398773575442545,0,1,16,18,GGgrrrGGgrrr
191,51,269.0,4.8787116050684896,0,1,18,19,GGgrrrGGgrrr
192,50,285.0,4.848977722042794,1,0,17,0,yyyrrryyyrrr
193,51,303.0,4.806154256705257,1,0,18,0,yyyrrryyyrrr
194,51,322.0,4.865235189536389,1,1,17,0,yyyrrryyyrrr
195,50,339.0,4.8459141957796295,2,1,18,0,rrrrrrrrrrrr
196,50,360.0,4.955715438350504,2,2,19,0,rrrrrrrrrrrr
197,51,309.0,5.0375826345512,3,4,16,0,rrrGGgrrrGGg
198,52,270.0,5.0540021635417,3,3,16,1,rrrGGgrrrGGg
199,52,229.0,5.209817136755259,3,4,12,2,rrrGGgrrrGGg
200,52,188.0,5.4139301583076325,3,4,10,3,rrrGGgrrrGGg
201,53,147.0,5.584582201023009,3,5,9,4,rrrGGgrrrGGg
202,54,106.0,5.782853557043753,3,5,7,5,rrrGGgrrrGGg
203,55,96.0,5.948687331451409,3,4,8,6,rrrGGgrrrGGg
204,55,90.0,6.157378346095635,3,4,5,7,rrrGGgrrrGGg
205,55,68.0,6.159097812916546,3,4,3,8,rrrGGgrrrGGg
206,52,76.0,5.783498365777855,3,5,3,9,rrrGGgrrrGGg
207,53,68.0,5.453247423470647,3,6,4,10,rrrGGgrrrGGg
208,53,64.0,5.641757087683804,3,6,2,11,rrrGGgrrrGGg
209,53,64.0,5.831678384912559,3,7,1,12,rrrGGgrrrGGg
210,51,68.0,5.864177545787158,3,7,0,13,rrrGGgrrrGGg
211,50,75.0,6.007660497699925,3,7,0,14,rrrGGgrrrGGg
212,51,82.0,6.171980405421123,3,8,0,15,rrrGGgrrrGGg
213,52,89.0,6.315813492345288,3,8,0,16,rrrGGgrrrGGg
214,53,96.0,6.462659186376947,3,7,1,17,rrrGGgrrrGGg
215,51,104.0,6.366752872451323,3,8,0,18,rrrGGgrrrGGg
216,51,112.0,6.624552617073548,3,8,0,19,rrrGGgrrrGGg
217,52,120.0,6.757647342390367,4,8,1,0,rrryyyrrryyy
218,52,130.0,6.668223247941433,4,10,1,0,rrryyyrrryyy
219,51,140.0,6.678901848003928,4,9,1,0,rrryyyrrryyy
220,51,152.0,6.682332954908024,5,9,3,0,rrrrrrrrrrrr
221,51,164.0,6.405844823125592,5,9,4,0,rrrrrrrrrrrr
222,51,117.0,6.381598263632934,0,6,4,0,GGgrrrGGgrrr
223,53,92.0,6.053000985437169,0,6,6,1,GGgrrrGGgrrr
224,54,77.0,5.890099066658247,0,4,9,2,GGgrrrGGgrrr
225,53,65.0,5.7951957155786795,0,3,11,3,GGgrrrGGgrrr
226,54,60.0,5.8951645415054665,0,2,12,4,GGgrrrGGgrrr
227,53,74.0,5.946437917471645,0,2,12,5,GGgrrrGGgrrr
228,54,78.0,6.061054354111142,0,2,12,6,GGgrrrGGgrrr
229,55,87.0,6.103144765890955,0,0,14,7,GGgrrrGGgrrr
230,54,101.0,6.14722406862599,0,0,13,8,GGgrrrGGgrrr
231,53,116.0,6.080232673831322,0,0,13,9,GGgrrrGGgrrr
232,52,127.0,5.983451320974085,0,1,13,10,GGgrrrGGgrrr
233,52,139.0,5.767224896664942,0,2,13,11,GGgrrrGGgrrr
234,52,152.0,5.76297828862246,0,1,14,12,GGgrrrGGgrrr
235,52,165.0,5.559300429974169,0,0,15,13,GGgrrrGGgrrr
236,51,179.0,5.499224320482493,0,0,14,14,GGgrrrGGgrrr
237,51,193.0,5.299616625918838,0,0,15,15,GGgrrrGGgrrr
238,51,209.0,5.22111465568042,0,2,15,16,GGgrrrGGgrrr
239,50,224.0,5.339653539726116,0,1,15,17,GGgrrrGGgrrr
240,50,238.0,5.628039732860285,0,0,15,18,GGgrrrGGgrrr
241,49,253.0,5.679309311033069,0,0,15,19,GGgrrrGGgrrr
242,48,268.0,5.7218788935701,1,0,15,0,yyyrrryyyrrr
243,48,283.0,5.5543077325238555,1,1,15,0,yyyrrryyyrrr
244,47,300.0,5.431647233766139,1,1,16,0,yyyrrryyyrrr
245,47,315.0,5.389915586012511,2,0,16,0,rrrrrrrrrrrr
246,50,332.0,4.990448512171618,2,2,18,0,rrrrrrrrrrrr
247,50,270.0,5.079417396203066,3,2,14,0,rrrGGgrrrGGg
248,50,231.0,5.1703022832055305,3,3,12,1,rrrGGgrrrGGg
249,51,193.0,5.010649085003538,3,5,10,2,rrrGGgrrrGGg
250,51,154.0,5.019022621768155,3,5,8,3,rrrGGgrrrGGg
251,51,115.0,5.096192931556097,3,6,7,4,rrrGGgrrrGGg
252,51,84.0,5.319383854669296,3,6,6,5,rrrGGgrrrGGg
253,51,64.0,5.366739079048064,3,8,4,6,rrrGGgrrrGGg
254,53,54.0,5.188262111209363,3,9,3,7,rrrGGgrrrGGg
255,50,56.0,4.720064859086268,3,9,1,8,rrrGGgrrrGGg
256,50,61.0,4.80643216508135,3,9,0,9,rrrGGgrrrGGg
257,51,70.0,4.907836419020936,3,9,1,10,rrrGGgrrrGGg
258,52,80.0,5.028978972259068,3,11,0,11,rrrGGgrrrGGg
259,52,90.0,5.034665197704795,3,11,0,12,rrrGGgrrrGGg
260,50,100.0,4.8566253100486145,3,10,0,13,rrrGGgrrrGGg
261,51,110.0,4.92164614567233,3,10,1,14,rrrGGgrrrGGg
262,52,120.0,5.0941721855771185,3,10,1,15,rrrGGgrrrGGg
263,52,131.0,5.3711212717922585,3,11,0,16,rrrGGgrrrGGg
264,52,142.0,5.405739669277427,3,12,0,17,rrrGGgrrrGGg
265,52,153.0,5.6275762261100235,3,11,0,18,rrrGGgrrrGGg
266,52,164.0,5.480249994225416,3,11,1,19,rrrGGgrrrGGg
267,53,175.0,5.58405558244311,4,11,1,0,rrryyyrrryyy
268,52,187.0,5.605152325374056,4,12,0,0,rrryyyrrryyy
269,54,199.0,5.486451668772038,4,14,0,0,rrryyyrrryyy
270,53,212.0,5.474113784509042,5,12,1,0,rrrrrrrrrrrr
271,54,228.0,5.512001935164881,5,13,4,0,rrrrrrrrrrrr
272,54,168.0,5.590117985061016,0,10,4,0,GGgrrrGGgrrr
273,54,122.0,5.576072995853023,0,7,7,1,GGgrrrGGgrrr
274,56,97.0,5.310019827338187,0,6,7,2,GGgrrrGGgrrr
275,57,86.0,5.305059820640144,0,6,8,3,GGgrrrGGgrrr
276,58,67.0,5.39675583782856,0,3,10,4,GGgrrrGGgrrr
277,58,55.0,5.66199796812114,0,1,11,5,GGgrrrGGgrrr
278,58,59.0,5.965298449098966,0,0,12,6,GGgrrrGGgrrr
279,58,71.0,5.924633401495121,0,1,12,7,GGgrrrGGgrrr
280,57,84.0,5.971174678575128,0,0,12,8,GGgrrrGGgrrr
281,58,98.0,6.066057066167642,0,0,13,9,GGgrrrGGgrrr
282,59,112.0,6.146622127492693,0,0,13,10,GGgrrrGGgrrr
283,58,123.0,6.2004570718617655,0,1,12,11,GGgrrrGGgrrr
284,58,134.0,6.179858943844911,0,3,12,12,GGgrrrGGgrrr
285,58,146.0,6.321355660668588,0,2,12,13,GGgrrrGGgrrr
286,58,158.0,6.142553055576358,0,2,13,14,GGgrrrGGgrrr
287,58,169.0,5.9381754985120745,0,1,13,15,GGgrrrGGgrrr
288,58,182.0,5.938006383506426,0,2,14,16,GGgrrrGGgrrr
289,57,195.0,5.758134324852088,0,1,14,17,GGgrrrGGgrrr
290,57,209.0,5.894437813385039,0,0,14,18,GGgrrrGGgrrr
291,57,223.0,6.036520867086146,0,0,14,19,GGgrrrGGgrrr
292,57,238.0,5.732628962141871,1,0,17,0,yyyrrryyyrrr
293,55,253.0,5.32910192934122,1,0,15,0,yyyrrryyyrrr
294,56,271.0,5.176002321274212,1,3,15,0,yyyrrryyyrrr
295,56,288.0,5.238215402637487,2,3,15,0,rrrrrrrrrrrr
296,56,308.0,5.350490708577079,2,4,16,0,rrrrrrrrrrrr
297,57,273.0,5.438029840121347,3,4,15,0,rrrGGgrrrGGg
298,57,237.0,5.530245993519982,3,5,12,1,rrrGGgrrrGGg
299,58,201.0,5.483003977789868,3,7,10,2,rrrGGgrrrGGg
300,59,166.0,5.522924204023641,3,8,8,3,rrrGGgrrrGGg
301,59,131.0,5.684713261677052,3,7,7,4,rrrGGgrrrGGg
302,60,95.0,5.659969112069969,3,7,6,5,rrrGGgrrrGGg
303,60,93.0,5.69015127537692,3,8,4,6,rrrGGgrrrGGg
304,61,90.0,5.667301166400551,3,10,3,7,rrrGGgrrrGGg
305,60,90.0,5.685991525341425,3,9,3,8,rrrGGgrrrGGg
306,59,93.0,5.726401349256476,3,9,2,9,rrrGGgrrrGGg
307,60,102.0,5.253391147234775,3,10,5,10,rrrGGgrrrGGg
308,59,105.0,5.182609672147246,3,10,2,11,rrrGGgrrrGGg
309,60,110.0,5.152085256944364,3,11,1,12,rrrGGgrrrGGg
310,59,122.0,5.121164912988025,3,12,1,13,rrrGGgrrrGGg
311,58,132.0,5.157448810191033,3,12,0,14,rrrGGgrrrGGg
312,59,144.0,5.261974159302381,3,12,1,15,rrrGGgrrrGGg
313,59,156.0,5.255223711543602,3,12,1,16,rrrGGgrrrGGg
314,59,168.0,5.443667018968902,3,12,0,17,rrrGGgrrrGGg
315,60,180.0,5.474235727634001,3,13,0,18,rrrGGgrrrGGg
316,59,192.0,5.482224262067668,3,12,0,19,rrrGGgrrrGGg
317,58,205.0,5.43629580040229,4,13,0,0,rrryyyrrryyy
